C2,C2,C2,C2,C2
Deformation,Standard force,Standard travel,SG1,Test time
mm,N,mm,V,s
1.440658331,2724.210205,1.440658331,-10.62794781,44.1
1.443996787,2717.538574,1.443996787,-10.62794781,44.2
1.447345495,2711.242432,1.447345495,-10.62794781,44.3
1.450678706,2704.907959,1.450678706,-10.62794781,44.4
1.454008102,2698.254395,1.454008102,-10.62794781,44.5
1.45733285,2691.453857,1.45733285,-10.62794781,44.6
1.460677505,2684.493652,1.460677505,-10.62794781,44.7
1.4640131,2677.543945,1.4640131,-10.62794781,44.8
1.467326045,2670.672119,1.467326045,-10.62794781,44.9
1.470666528,2663.928467,1.470666528,-10.62794781,45
1.473996162,2657.21167,1.473996162,-10.62794781,45.1
1.477324247,2650.174561,1.477324247,-10.62794781,45.2
1.480643034,2642.858887,1.480643034,-10.62794781,45.3
1.483955264,2635.586914,1.483955264,-10.62794781,45.4
1.487293124,2628.325928,1.487293124,-10.62794781,45.5
1.490630865,2621.169434,1.490630865,-10.62794781,45.6
1.493980408,2614.268066,1.493980408,-10.62794781,45.7
1.49731493,2607.325928,1.49731493,-10.62794781,45.8
1.500654578,2600.188721,1.500654578,-10.62794781,45.9
1.503989935,2592.791748,1.503989935,-10.62794781,46
1.507322907,2585.385498,1.507322907,-10.62794781,46.1
1.510653853,2577.950684,1.510653853,-10.62794781,46.2
1.513977051,2570.236328,1.513977051,-10.62794781,46.3
1.517295599,2562.786621,1.517295599,-10.62794781,46.4
1.52066195,2555.527344,1.52066195,-10.62794781,46.5
1.52401197,2548.112793,1.52401197,-10.62794781,46.6
1.527353525,2540.599609,1.527353525,-10.62794781,46.7
1.530683756,2533.146484,1.530683756,-10.62794781,46.8
1.534017324,2525.159424,1.534017324,-10.62794781,46.9
1.537340522,2517.383545,1.537340522,-10.62794781,47
1.540658355,2509.694092,1.540658355,-10.62794781,47.1
1.543966174,2501.802734,1.543966174,-10.62794781,47.2
1.547319055,2493.852783,1.547319055,-10.62794781,47.3
1.550648689,2485.731934,1.550648689,-10.62794781,47.4
1.553994894,2477.515381,1.553994894,-10.62794781,47.5
1.557335258,2469.182617,1.557335258,-10.62794781,47.6
