S1Tnbm,S1Tnbm,S1Tnbm,S1Tnbm,S1Tnbm
Deformation,Standard force,Standard travel,SG1,Test time
mm,N,mm,V,s
1.046996474,3016.12793,1.046996474,0,32.3
1.050336242,3021.178711,1.050336242,0,32.4
1.053685546,3026.18457,1.053685546,0,32.5
1.056929946,3029.625977,1.056929946,0,32.6
1.060332656,3034.395508,1.060332656,0,32.7
1.063619018,3038.418945,1.063619018,0,32.8
1.067077041,3042.407227,1.067077041,0,32.9
1.070308089,3046.37207,1.070308089,0,33
1.073562026,3050.038086,1.073562026,0,33.1
1.07697618,3054.301758,1.07697618,0,33.2
1.080272079,3057.731445,1.080272079,0,33.3
1.083569884,3060.615234,1.083569884,0,33.4
1.086800933,3063.722656,1.086800933,0,33.5
1.090226531,3067.855469,1.090226531,0,33.6
1.093469024,3070.96875,1.093469024,0,33.7
1.096862197,3074.765625,1.096862197,0,33.8
1.100127578,3078.03125,1.100127578,0,33.9
1.103412032,3081.347656,1.103412032,0,34
1.106849074,3085.716797,1.106849074,0,34.1
1.110177398,3089.160156,1.110177398,0,34.2
1.11348474,3092.453125,1.11348474,0,34.3
1.116845489,3096.001953,1.116845489,0,34.4
1.120250106,3099.617188,1.120250106,0,34.5
1.123555541,3102.587891,1.123555541,0,34.6
1.126992583,3105.980469,1.126992583,0,34.7
1.130202651,3107.952148,1.130202651,0,34.8
1.133574843,3111.401367,1.133574843,0,34.9
1.136968017,3115.129883,1.136968017,0,35
1.140328765,3117.517578,1.140328765,0,35.1
1.143624663,3119.832031,1.143624663,0,35.2
1.14694345,3122.576172,1.14694345,0,35.3
1.15034616,3125.951172,1.15034616,0,35.4
1.153676391,3128.824219,1.153676391,0,35.5
1.157004714,3131.169922,1.157004714,0,35.6
1.160214782,3133.385742,1.160214782,0,35.7
1.163682342,3136.686523,1.163682342,0,35.8
1.166957259,3138.500488,1.166957259,0,35.9
1.170243621,3140.200684,1.170243621,0,36
1.173539519,3141.458008,1.173539519,0,36.1
1.176825881,3142.808105,1.176825881,0,36.2
1.180175185,3144.961426,1.180175185,0,36.3
1.183526397,3148.028809,1.183526397,0,36.4
1.186736465,3149.121582,1.186736465,0,36.5
1.190087676,3150.683105,1.190087676,0,36.6
1.193501949,3153.316406,1.193501949,0,36.7
1.196786404,3154.625977,1.196786404,0,36.8
1.200223446,3156.720703,1.200223446,0,36.9
1.203540325,3158.615723,1.203540325,0,37
1.206902981,3160.257813,1.206902981,0,37.1
1.210263729,3162.067383,1.210263729,0,37.2
1.213656902,3163.606445,1.213656902,0,37.3
1.216908932,3164.420898,1.216908932,0,37.4
1.220281124,3166.028809,1.220281124,0,37.5
1.223653316,3167.198975,1.223653316,0,37.6
1.226993084,3168.588379,1.226993084,0,37.7
1.230353832,3169.581299,1.230353832,0,37.8
1.233575344,3169.309814,1.233575344,0,37.9
1.236989498,3170.256104,1.236989498,0,38
1.240382671,3170.802246,1.240382671,0,38.1
1.243690014,3170.142822,1.243690014,0,38.2
1.246985912,3169.078369,1.246985912,0,38.3
1.25032568,3169.018311,1.25032568,0,38.4
1.253589153,3167.608643,1.253589153,0,38.5
